,FIPS,FIPS_NUM,COUNTY_NAME,STATE,UIC_NUMBER,UIC_GROUP,MEDICARE_ENROLL,POPESTIMATE,PHARMA_COUNT,ENERGY_RES,ENERGY_COM,ENERGY_IND,ENERGY_TTL,MEDICARE_RATE,RESIDENTIAL_RATE,MEDICARE_BIN,RESIDENTIAL_BIN,BIVARIATE_BIN
379,12119,12119,Sumter County,FL,2,Metro,74831,129752,21,529831.0,175772.0,176301.0,881904.0,0.577,0.601,C,3,C3
2715,48385,48385,Real County,TX,10,Nonmetro,1329,2758,0,15573.0,14748.0,28011.0,58332.0,0.482,0.267,C,1,C1
1231,26001,26001,Alcona County,MI,10,Nonmetro,4374,10167,0,36002.0,19076.0,13629.0,68707.0,0.43,0.524,C,3,C3
1290,26119,26119,Montmorency County,MI,10,Nonmetro,3936,9153,1,29195.0,23179.0,24281.0,76655.0,0.43,0.381,C,2,C2
1296,26131,26131,Ontonagon County,MI,10,Nonmetro,2429,5816,0,16601.0,15629.0,3123.0,35353.0,0.418,0.47,C,3,C3
2969,53031,53031,Jefferson County,WA,6,Nonmetro,13640,32977,4,153437.0,99072.0,41736.0,294245.0,0.414,0.521,C,3,C3
1796,35003,35003,Catron County,NM,10,Nonmetro,1479,3579,0,10898.0,9082.0,18647.0,38627.0,0.413,0.282,C,1,C1
581,16061,16061,Lewis County,ID,7,Nonmetro,1449,3533,1,18725.0,15196.0,27957.0,61878.0,0.41,0.303,C,1,C1
2215,41015,41015,Curry County,OR,8,Nonmetro,9532,23446,1,124213.0,102261.0,24960.0,251434.0,0.407,0.494,C,3,C3
1302,26143,26143,Roscommon County,MI,11,Nonmetro,9520,23459,6,86697.0,81907.0,4769.0,173373.0,0.406,0.5,C,3,C3
2348,45065,45065,McCormick County,SC,6,Nonmetro,3859,9526,0,54548.0,20351.0,35454.0,110353.0,0.405,0.494,C,3,C3
2870,51103,51103,Lancaster County,VA,12,Nonmetro,4416,10919,2,76288.0,101829.0,8893.0,187010.0,0.404,0.408,C,2,C2
525,13281,13281,Towns County,GA,12,Nonmetro,5018,12493,1,49430.0,26213.0,6588.0,82231.0,0.402,0.601,C,3,C3
2883,51133,51133,Northumberland County,VA,12,Nonmetro,4704,11839,1,91863.0,69265.0,16654.0,177782.0,0.397,0.517,C,3,C3
1822,35051,35051,Sierra County,NM,6,Nonmetro,4565,11576,1,35754.0,80130.0,29137.0,145021.0,0.394,0.247,C,1,C1
328,12017,12017,Citrus County,FL,2,Metro,60361,153843,26,773544.0,412563.0,19768.0,1205875.0,0.392,0.641,C,3,C3
258,08027,8027,Custer County,CO,7,Nonmetro,1827,4704,0,17402.0,7716.0,15220.0,40338.0,0.388,0.431,C,2,C2
1624,30053,30053,Lincoln County,MT,9,Nonmetro,7640,19677,0,111854.0,46657.0,222537.0,381048.0,0.388,0.294,C,1,C1
1272,26083,26083,Keweenaw County,MI,8,Nonmetro,794,2046,0,5468.0,3168.0,1648.0,10284.0,0.388,0.532,C,3,C3
2391,46061,46061,Hanson County,SD,5,Nonmetro,1329,3461,0,15649.0,4448.0,11498.0,31595.0,0.384,0.495,C,3,C3
327,12015,12015,Charlotte County,FL,2,Metro,71672,186847,30,939356.0,733041.0,12746.0,1685143.0,0.384,0.557,C,3,C3
2591,48137,48137,Edwards County,TX,12,Nonmetro,539,1422,0,9074.0,5697.0,5551.0,20322.0,0.379,0.447,C,3,C3
1301,26141,26141,Presque Isle County,MI,9,Nonmetro,4902,12982,1,42698.0,34938.0,21997.0,99633.0,0.378,0.429,C,2,C2
2709,48373,48373,Polk County,TX,4,Nonmetro,18824,50123,2,283624.0,163453.0,63710.0,510787.0,0.376,0.555,C,3,C3
2445,47035,47035,Cumberland County,TN,5,Nonmetro,22790,61145,6,313430.0,155770.0,173379.0,642579.0,0.373,0.488,C,3,C3
1899,37019,37019,Brunswick County,NC,2,Metro,50868,136693,12,748319.0,465761.0,179606.0,1393686.0,0.372,0.537,C,3,C3
3111,55125,55125,Vilas County,WI,12,Nonmetro,8549,23047,4,76516.0,118415.0,13413.0,208344.0,0.371,0.367,C,2,C2
530,13291,13291,Union County,GA,12,Nonmetro,9125,24632,6,98088.0,74126.0,19696.0,191910.0,0.37,0.511,C,3,C3
1314,27001,27001,Aitkin County,MN,4,Nonmetro,5767,15697,2,70875.0,30451.0,28894.0,130220.0,0.367,0.544,C,3,C3
2384,46047,46047,Fall River County,SD,6,Nonmetro,2561,6973,1,36535.0,38899.0,15746.0,91180.0,0.367,0.401,C,2,C2
113,05005,5005,Baxter County,AR,8,Nonmetro,15271,41627,2,206535.0,131572.0,60114.0,398221.0,0.367,0.519,C,3,C3
2988,53069,53069,Wahkiakum County,WA,4,Nonmetro,1612,4422,0,18407.0,64985.0,23447.0,106839.0,0.365,0.172,C,1,C1
2377,46033,46033,Custer County,SD,2,Metro,3036,8318,0,43739.0,30134.0,20254.0,94127.0,0.365,0.465,C,3,C3
2864,51091,51091,Highland County,VA,7,Nonmetro,814,2232,0,14928.0,2519.0,3780.0,21227.0,0.365,0.703,C,3,C3
2978,53049,53049,Pacific County,WA,9,Nonmetro,8488,23365,2,96883.0,179413.0,65795.0,342091.0,0.363,0.283,C,1,C1
